Product_name,Rating,Discount%,Reviews Count,Discounted_Price(₹),Original_Price(₹)
Chronograph Analogue and Digital Sports Watch for Men,3.8,50,1255,749,1499
"Unisex Adult Aviator Sunglasses White Frame, Transparent Lens (Medium) - Pack of 2",3.1,88,1243,299,2499
"Classic Casual Lace Up Sneaker,Casual Shoe for Men",3.6,40,147,599,999
Top Grain Genuine Leather Handmade | Cowboy Belt for Men | 46 inches length | Adjustable size fits Waist 28 - 40 inches,4.5,81,81,563,2999
Bi Fold Slim & Light Weight Artificial Leather Men's Stylish Casual Wallet Purse with Card Holder Compartment (Blue),4.2,43,11,740,1299
Stainless Steel Watch Series Analogue Men's Watch (Black Dial Mens Long Colored Strap) -W219,3.7,72,881,284,999
"Unisex Octagonal Sunglasses/Frame for Men & Women - Black/Pink/Yellow/Blue Combo, Pack of 4, Free Size",3.7,65,1349,449,1299
Brown Leather Men's Wallet (TW184LM1BR),4.2,20,1606,999,1249
"Fashion Digital Men's & Boy's Watch (Black Dial, Green Colored Strap)",4,64,2271,544,1499
Chain for Men and Boys | Black Chain Interlinked Neck Chain Type for Men | Stainless Steel Chains for Men | Accessories Jewellery for Men | Birthday Gift for Men and Boys Anniversary Gift for Husband,4.1,73,95,267,996
"Unisex-Adult Bi-Fold Wallet IND I, CASTLEROCK, X (5404901)",4.1,55,864,449,999
Unisex-Child Baseball Cap,4,45,968,439,799
"Ankle Socks Sports Cotton Cushion Socks for Men Women Unisex Low Cut Socks, Pack of 4, Free Size",3.6,79,25,251,1200
Unisex Mercedes F1 Baseball Cap Silver,4.6,50,35,799,1599
Men Running Shoes,4.2,17,9366,874,1049
S Shock Digital Kids Watch for Boys [7-30 Years],3.7,83,506,216,1249
Marty Grey Leather Wallet + Pen + Keyring Combo Gift Set for Men,4.2,75,444,499,2000
Men's Loafer,3.7,53,19503,474,999
Analogue Men's Watch (Multicolored Dial Multi Colored Strap),3.7,90,656,199,1999
Bi Fold Slim & Light Weight Leather Men's Stylish Casual Wallet Purse with Card Holder Compartment (Chocolate Brown) (Chocolate Brown),4.1,43,562,740,1299
Bracelets for Girls and Boys | Leather Bracelet for Girls and Boys | Leather Silicon Wristband for Boys | Accessories Jewellery for Unisex | Birthday Gift for Girls and Boys.,3.9,87,1690,166,1245
Chain for Men and Boys | Silver Chain Men Type Neck Chain for Men | Stainless Steel Chains for Men | Accessories Jewellery for Men | Birthday Gift for Men and Boys Anniversary Gift for Husband,4,70,160,247,829
Men's Flip-Flops and House Slippers,3.9,31,6351,381,549
Black Chris RFID Blocking Leather Card Holder for Men,3.9,75,158,299,1200
Analogue Men's Watch ( Black Dial & Strap ),3.6,75,1069,249,999
Men's Future-01 Running Shoes,3.9,19,5987,524,649
Men Shirt,3.8,73,25203,499,1849
"Men's Sf0204g Flip Flop Slippers - 10, Red, Black (Sf0204grdbk0010)",4.2,15,1664,233,274
Teak Tan RFID Blocking Leather Wallet for Men | Wallets Men Leather | Mens Wallet | Wallets for Men,4.2,71,1339,580,1999
Men's Regular Fit Track pants(Pack of 2),3.8,67,5947,599,1800
Titanium Stainless Steel Stylish adjustable size proposal Couple band thumb Silver Platinum gold combo Finger Ring for Men Mens gents unisex Boys Boyfriend MEN RINGS-AM08,3.6,89,426,212,2000
Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,4.2,67,197,521,1599
Stylish Unisex Leather Strand Bracelet for Men and Women,3.6,80,1129,157,799
Men's Ignite Running Sport Shoe,4,40,4395,658.16,1099
Men's Slim Fit Shirt,4.1,72,4196,699,2499
